taxa,peak,sd,start,end
Quercus,92.46449704142012,21.541488383778244,0,185
Morus,120.41666666666667,23.878913606255477,24,217
Ulmus early,64.38501827644411,22.6813460593292,-30,159
Ulmus late,263.3309349093343,19.52472820655309,175,352
Fraxinus,83.05797101449275,28.329153230820843,-22,189
Betula,96.65923984272608,20.937509292159156,6,188
Acer,86.82539682539323,28.917968096152624,-20,194
Populus,96.95428571428572,23.414053690125552,1,193
Juglans,132.49511400651465,24.804473783305667,34,231
Platanus,109.6678281068525,17.83330344538922,25,195
Alnus,76.49724770642202,17.35005199852402,-8,161
Carya,121.41043083209257,16.934982119903786,38,205
Liquidambar,82.09215017064847,21.419227745644122,-10,174
Salix,99.3753630650395,30.280536295755173,-10,209
Celtis,89.33559322033898,28.507315520887136,-17,195
